productname,2014,2015,2016,2017,Total in Months
Staples,52,39,56,68,215
Easy-staple paper,22,39,31,58,150
Staples in misc. colors,20,6,8,52,86
Staple envelope,54,43,34,39,170
Storex Dura Pro Binders,7,15,12,37,71
Eldon Wave Desk Accessories,14,5,8,34,61
Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,7,0,4,34,45
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2,7,0,30,39
Logitech Desktop MK120 Mouse and keyboard Combo,6,7,8,29,50
Adjustable Depth Letter/Legal Cart,2,12,2,29,45
GBC Instant Report Kit,2,7,12,29,50
Avery Durable Poly Binders,3,0,2,28,33
Strathmore Photo Mount Cards,0,0,10,28,38
"Global Wood Trimmed Manager's Task Chair, Khaki",13,6,13,27,59
O'Sullivan 4-Shelf Bookcase in Odessa Pine,10,0,0,27,37
Satellite Sectional Post Binders,6,0,5,27,38
"Fellowes Mobile File Cart, Black",1,1,11,27,40
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),3,0,1,26,30
Motorola HK250 Universal Bluetooth Headset,0,2,13,26,41
KI Adjustable-Height Table,29,4,16,25,74
Memorex Micro Travel Drive 16 GB,7,4,3,25,39
Avery Metallic Poly Binders,6,0,0,25,31
"Avery Durable Slant Ring Binders, No Labels",5,2,4,25,36
Samsung Galaxy Mega 6.3,5,0,9,25,39
Fellowes Basic Home/Office Series Surge Protectors,2,8,6,25,41
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,2,1,0,25,28
Nortel Networks T7316 E Nt8 B27,2,0,2,25,29
"Trav-L-File Heavy-Duty Shuttle II, Black",1,4,0,25,30
"Crayola Anti Dust Chalk, 12/Pack",0,6,4,25,35
Xerox 1968,0,0,1,25,26
Wilson Jones Century Plastic Molded Ring Binders,15,3,6,24,48
"Wirebound Message Book, 4 per Page",9,2,0,24,35
Wilson Jones Easy Flow II Sheet Lifters,6,11,8,24,49
GBC Premium Transparent Covers with Diagonal Lined Pattern,4,21,18,24,67
Staple remover,4,16,17,24,61
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,0,4,3,24,31
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",0,2,5,24,31
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",0,0,2,24,26
Nu-Dell Executive Frame,11,0,5,23,39
Bulldog Vacuum Base Pencil Sharpener,5,0,3,23,31
"Maxell 74 Minute CDR, 10/Pack",3,0,0,23,26
Xerox 191,0,13,3,23,39
Fellowes Stor/Drawer Steel Plus Storage Drawers,11,4,0,22,37
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",7,0,3,22,32
"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",3,0,22,22,47
Newell 325,3,0,9,22,34
Wilson Jones Legal Size Ring Binders,21,2,0,21,44
"Cardinal HOLDit! Binder Insert Strips,Extra Strips",12,0,8,21,41
Staple holder,9,7,15,21,52
Eldon Shelf Savers Cubes and Bins,8,12,4,21,45
"Fellowes Twister Kit, Gray/Clear, 3/pkg",8,7,6,21,42
Storex DuraTech Recycled Plastic Frosted Binders,7,5,6,21,39
Xerox 1919,5,11,3,21,40
"Situations Contoured Folding Chairs, 4/Set",4,13,26,21,64
Newell 312,2,19,7,21,49
Newell 311,0,4,5,21,30
Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,0,4,0,21,25
Avery Non-Stick Binders,14,14,23,20,71
Advantus Plastic Paper Clips,12,5,10,20,47
Acco 3-Hole Punch,11,3,2,20,36
SAFCO Boltless Steel Shelving,6,7,13,20,46
Vinyl Sectional Post Binders,6,5,9,20,40
Peel-Off China Markers,5,6,0,20,31
GBC VeloBinder Manual Binding System,4,4,2,20,30
Cardinal EasyOpen D-Ring Binders,3,8,9,20,40
Premium Transparent Presentation Covers by GBC,3,0,20,20,43
"Peel & Seel Recycled Catalog Envelopes, Brown",3,0,3,20,26
Flat Face Poster Frame,0,14,17,20,51
Global Ergonomic Managers Chair,0,7,12,20,39
"Bush Westfield Collection Bookcases, Medium Cherry Finish",0,6,6,20,32
Chromcraft Round Conference Tables,0,2,39,20,61
"Premier Elliptical Ring Binder, Black",16,2,9,19,46
DMI Arturo Collection Mission-style Design Wood Chair,16,0,2,19,37
Staple-based wall hangings,13,13,17,19,62
GBC DocuBind TL300 Electric Binding System,11,5,2,19,37
Fellowes Officeware Wire Shelving,9,22,5,19,55
Fluorescent Highlighters by Dixon,7,0,0,19,26
Newell 347,5,8,0,19,32
Iris Project Case,4,7,0,19,30
Letter Size Cart,4,5,5,19,33
"Bush Andora Bookcase, Maple/Graphite Gray Finish",3,5,7,19,34
3M Organizer Strips,3,4,0,19,26
"SlimView Poly Binder, 3/8""",2,19,0,19,40
GBC DocuBind TL200 Manual Binding Machine,1,3,0,19,23
Polycom SoundPoint IP 450 VoIP phone,1,0,2,19,22
Xerox 1996,0,4,5,19,28
"Neat Ideas Personal Hanging Folder Files, Black",0,3,0,19,22
Xerox 1905,0,0,4,19,23
Xerox 230,0,0,2,19,21
Maxell 4.7GB DVD-R,16,8,7,18,49
Xerox 1893,13,0,8,18,39
Avery Durable Binders,12,17,3,18,50
Avery File Folder Labels,9,6,11,18,44
"ACCOHIDE 3-Ring Binder, Blue, 1""",9,5,12,18,44
Ibico Hi-Tech Manual Binding System,9,2,5,18,34
Avery 505,5,5,0,18,28
Hewlett Packard LaserJet 3310 Copier,5,2,13,18,38
WD My Passport Ultra 2TB Portable External Hard Drive,5,0,12,18,35
GBC DocuBind P50 Personal Binding Machine,4,14,14,18,50
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6 Capacity""",2,11,8,18,39
SanDisk Cruzer 64 GB USB Flash Drive,2,3,11,18,34
Global Commerce Series Low-Back Swivel/Tilt Chairs,2,1,3,18,24
Kingston Digital DataTraveler 16GB USB 2.0,1,20,18,18,57
Microsoft Sculpt Comfort Mouse,0,11,13,18,42
Belkin 5 Outlet SurgeMaster Power Centers,0,8,14,18,40
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,0,7,18,18,43
"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",0,7,0,18,25
Xerox 1908,0,5,9,18,32
Sterilite Officeware Hinged File Box,0,3,14,18,35
Zipper Ring Binder Pockets,15,4,8,17,44
Xerox 1909,15,0,8,17,40
4009 Highlighters by Sanford,13,5,9,17,44
DXL Angle-View Binders with Locking Rings by Samsill,10,0,8,17,35
"Avery Address/Shipping Labels for Typewriters, 4 x 2""""",9,0,2,17,28
Geemarc AmpliPOWER60,7,12,10,17,46
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7,2,2,17,28
Tennsco Double-Tier Lockers,6,7,17,17,47
GE 30524EE4,6,2,7,17,32
Xerox 1906,4,8,3,17,32
Fellowes Binding Cases,4,6,4,17,31
Xerox 1891,3,8,2,17,30
Sony 64GB Class 10 Micro SDHC R40 Memory Card,3,3,4,17,27
Eldon Gobal File Keepers,2,3,2,17,24
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2,0,2,17,21
Aluminum Screw Posts,0,21,3,17,41
Self-Adhesive Removable Labels,0,15,3,17,35
Logitech G19 Programmable Gaming Keyboard,0,13,6,17,36
Xerox 1997,0,11,2,17,30
GBC Twin Loop Wire Binding Elements,0,8,22,17,47
OtterBox Defender Series Case - Samsung Galaxy S4,0,5,5,17,27
Xerox 1930,0,5,2,17,24
Google Nexus 5,0,3,3,17,23
Economy Binders,0,2,0,17,19
Avery 511,0,1,2,17,20
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",0,0,11,17,28
PayAnywhere Card Reader,0,0,8,17,25
Avanti 1.7 Cu. Ft. Refrigerator,0,0,7,17,24
Xerox 1939,0,0,5,17,22
"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",0,0,4,17,21
GBC VeloBind Cover Sets,10,0,16,16,42
Avery 518,9,3,7,16,35
Xerox 220,9,0,0,16,25
Ibico Plastic and Wire Spiral Binding Combs,8,4,13,16,41
Xerox 1888,8,0,0,16,24
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,7,4,13,16,40
Fellowes PB300 Plastic Comb Binding Machine,7,4,0,16,27
Canvas Sectional Post Binders,6,0,6,16,28
Martin Yale Chadless Opener Electric Letter Opener,5,1,0,16,22
Logitech Wireless Headset h800,4,6,6,16,32
Newell 310,3,5,1,16,25
Xerox 203,3,5,0,16,24
Bevis 36 x 72 Conference Tables,1,18,5,16,40
Iceberg Mobile Mega Data/Printer Cart ,0,12,21,16,49
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,0,12,6,16,34
Memorex Froggy Flash Drive 8 GB,0,9,7,16,32
"GBC Velobind Prepunched Cover Sets, Regency Series",0,8,9,16,33
Ibico Presentation Index for Binding Systems,0,2,9,16,27
"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",0,2,4,16,22
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,0,1,0,16,17
BIC Liqua Brite Liner,0,0,11,16,27
Newell 318,0,0,7,16,23
Avery 478,0,0,2,16,18
Pencil and Crayon Sharpener,0,0,0,16,16
Fellowes Bankers Box Stor/Drawer Steel Plus,20,5,10,15,50
Lock-Up Easel 'Spel-Binder',13,9,7,15,44
Wilson Jones Leather-Like Binders with DublLock Round Rings,12,8,11,15,46
Toshiba IPT2010-SD IP Telephone,9,7,0,15,31
Pressboard Hanging Data Binders for Unburst Sheets,8,8,17,15,48
12-1/2 Diameter Round Wall Clock,8,6,7,15,36
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",8,5,0,15,28
Global Super Steno Chair,7,6,2,15,30
Binder Clips by OIC,6,6,0,15,27
X-Rack File for Hanging Folders,5,2,8,15,30
Griffin GC17055 Auxiliary Audio Cable,4,0,8,15,27
Tennsco Commercial Shelving,4,0,2,15,21
Xerox 209,3,3,8,15,29
Grandstream GXP1160 VoIP phone,3,3,3,15,24
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,2,5,15,25
"#10- 4 1/8 x 9 1/2"" Security-Tint Envelopes""",3,0,3,15,21
Nu-Dell Leatherette Frames,3,0,0,15,18
Avery Recycled Flexi-View Covers for Binding Systems,2,12,3,15,32
Logitech Wireless Marathon Mouse M705,2,6,7,15,30
Stackable Trays,2,6,0,15,23
Belkin Premiere Surge Master II 8-outlet surge protector,2,4,5,15,26
Tensor Track Tree Floor Lamp,2,0,0,15,17
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1,21,6,15,43
Binding Machine Supplies,0,3,14,15,32
"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",0,2,9,15,26
Stanley Bostitch Contemporary Electric Pencil Sharpeners,0,2,2,15,19
Microsoft Wireless Mobile Mouse 4000,0,0,0,15,15
Boston 1799 Powerhouse Electric Pencil Sharpener,0,0,0,15,15
Pyle PMP37LED,17,5,7,14,43
"Hunt PowerHouse Electric Pencil Sharpener, Blue",12,16,2,14,44
"Wilson Jones 1 Hanging DublLock Ring Binders""",10,10,12,14,46
GBC Prestige Therm-A-Bind Covers,10,10,5,14,39
"Global Stack Chair without Arms, Black",9,6,15,14,44
Ibico Plastic Spiral Binding Combs,8,13,12,14,47
HON 5400 Series Task Chairs for Big and Tall,8,10,7,14,39
Xerox 1917,7,4,0,14,25
Xerox 1947,7,0,4,14,25
Avery Hole Reinforcements,6,12,0,14,32
"Global Fabric Manager's Chair, Dark Gray",6,8,7,14,35
"Master Big Foot Doorstop, Beige",6,6,4,14,30
OIC Stacking Trays,6,3,7,14,30
Recycled Easel Ring Binders,6,2,13,14,35
Space Solutions Commercial Steel Shelving,5,14,0,14,33
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48""""",5,5,0,14,24
Plantronics Voyager Pro HD - Bluetooth Headset,5,0,6,14,25
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2 X 14"" 7/8""""",4,14,4,14,36
Motorola L804,4,0,1,14,19
Xerox 1945,3,11,17,14,45
Logitech P710e Mobile Speakerphone,3,3,21,14,41
Xerox 1927,3,1,0,14,18
Logitech Illuminated - Keyboard,3,0,3,14,20
3.6 Cubic Foot Counter Height Office Refrigerator,3,0,1,14,18
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2,13,2,14,31
Astroparche Fine Business Paper,2,5,8,14,29
Prismacolor Color Pencil Set,2,4,4,14,24
Logitech ClearChat Comfort/USB Headset H390,2,0,3,14,19
"Sortfiler Multipurpose Personal File Organizer, Black",1,3,6,14,24
"Eldon 200 Class Desk Accessories, Smoke",1,0,7,14,22
Kensington Orbit Wireless Mobile Trackball for PC and Mac,0,10,9,14,33
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,0,9,3,14,26
Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,0,6,0,14,20
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0,4,7,14,25
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,0,4,4,14,22
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",0,4,2,14,20
Plantronics Audio 995 Wireless Stereo Headset,0,3,1,14,18
"Howard Miller 11-1/2 Diameter Brentwood Wall Clock""",0,3,0,14,17
Avery Printable Repositionable Plastic Tabs,0,1,1,14,16
Avery 473,0,0,10,14,24
"Eldon 400 Class Desk Accessories, Black Carbon",0,0,8,14,22
